Type:Windows.ApplicationModel:DesignMode
Property:Windows.ApplicationModel:DesignMode:DesignModeEnabled:Boolean:{get;}
Type:Windows.ApplicationModel:ISuspendingDeferral
Method:Windows.ApplicationModel:ISuspendingDeferral:Complete:Void:()
Type:Windows.ApplicationModel:ISuspendingEventArgs
Property:Windows.ApplicationModel:ISuspendingEventArgs:SuspendingOperation:SuspendingOperation:{get;}
Type:Windows.ApplicationModel:ISuspendingOperation
Property:Windows.ApplicationModel:ISuspendingOperation:Deadline:DateTimeOffset:{get;}
Method:Windows.ApplicationModel:ISuspendingOperation:GetDeferral:SuspendingDeferral:()
Type:Windows.ApplicationModel:Package
Property:Windows.ApplicationModel:Package:Current:Package:{get;}
Property:Windows.ApplicationModel:Package:Dependencies:IReadOnlyList<Package>:{get;}
Property:Windows.ApplicationModel:Package:Description:String:{get;}
Property:Windows.ApplicationModel:Package:DisplayName:String:{get;}
Property:Windows.ApplicationModel:Package:Id:PackageId:{get;}
Property:Windows.ApplicationModel:Package:InstalledLocation:StorageFolder:{get;}
Property:Windows.ApplicationModel:Package:IsBundle:Boolean:{get;}
Property:Windows.ApplicationModel:Package:IsDevelopmentMode:Boolean:{get;}
Property:Windows.ApplicationModel:Package:IsFramework:Boolean:{get;}
Property:Windows.ApplicationModel:Package:IsResourcePackage:Boolean:{get;}
Property:Windows.ApplicationModel:Package:Logo:Uri:{get;}
Property:Windows.ApplicationModel:Package:PublisherDisplayName:String:{get;}
Type:Windows.ApplicationModel:PackageId
Property:Windows.ApplicationModel:PackageId:Architecture:ProcessorArchitecture:{get;}
Property:Windows.ApplicationModel:PackageId:FamilyName:String:{get;}
Property:Windows.ApplicationModel:PackageId:FullName:String:{get;}
Property:Windows.ApplicationModel:PackageId:Name:String:{get;}
Property:Windows.ApplicationModel:PackageId:Publisher:String:{get;}
Property:Windows.ApplicationModel:PackageId:PublisherId:String:{get;}
Property:Windows.ApplicationModel:PackageId:ResourceId:String:{get;}
Property:Windows.ApplicationModel:PackageId:Version:PackageVersion:{get;}
Type:Windows.ApplicationModel:PackageVersion
Field:Windows.ApplicationModel:PackageVersion:Build:UInt16
Field:Windows.ApplicationModel:PackageVersion:Major:UInt16
Field:Windows.ApplicationModel:PackageVersion:Minor:UInt16
Field:Windows.ApplicationModel:PackageVersion:Revision:UInt16
Type:Windows.ApplicationModel:SuspendingDeferral
Method:Windows.ApplicationModel:SuspendingDeferral:Complete:Void:()
Type:Windows.ApplicationModel:SuspendingEventArgs
Property:Windows.ApplicationModel:SuspendingEventArgs:SuspendingOperation:SuspendingOperation:{get;}
Type:Windows.ApplicationModel:SuspendingOperation
Property:Windows.ApplicationModel:SuspendingOperation:Deadline:DateTimeOffset:{get;}
Method:Windows.ApplicationModel:SuspendingOperation:GetDeferral:SuspendingDeferral:()
Type:Windows.ApplicationModel.Activation:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:AppointmentsProvider:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:CachedFileUpdater:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:CameraSettings:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:Contact:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:ContactPicker:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:Device:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:File:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:FileOpenPicker:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:FileSavePicker:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:Launch:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:LockScreenCall:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:PrintTaskSettings:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:Protocol:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:RestrictedLaunch:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:Search:ActivationKind
Field:Windows.ApplicationModel.Activation:ActivationKind:ShareTarget:ActivationKind
Type:Windows.ApplicationModel.Activation:ApplicationExecutionState
Field:Windows.ApplicationModel.Activation:ApplicationExecutionState:ClosedByUser:ApplicationExecutionState
Field:Windows.ApplicationModel.Activation:ApplicationExecutionState:NotRunning:ApplicationExecutionState
Field:Windows.ApplicationModel.Activation:ApplicationExecutionState:Running:ApplicationExecutionState
Field:Windows.ApplicationModel.Activation:ApplicationExecutionState:Suspended:ApplicationExecutionState
Field:Windows.ApplicationModel.Activation:ApplicationExecutionState:Terminated:ApplicationExecutionState
Type:Windows.ApplicationModel.Activation:AppointmentsProviderAddAppointmentActivatedEventArgs
Property:Windows.ApplicationModel.Activation:AppointmentsProviderAddAppointmentActivatedEventArgs:AddAppointmentOperation:AddAppointmentOperation:{get;}
